filename,title,company_name,location,posted_date,applicants,salary,Python,SQL,SAS,C++,MSc,PhD,Cloud,AWS,Azure,Statistics,Computer Science,CS,consulting,Salary
file_0,Data Scientist,DWP Digital,,4 days ago,46 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_1,Data Scientist,Hays,,1 month ago,20 applicants,,True,False,False,False,False,False,False,False,False,True,True,False,False,
file_10,Data Scientist,Hays,,1 month ago,15 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_100,NLP Data Scientist Lead,JPMorgan Chase & Co.,,1 week ago,26 applicants,,True,False,False,False,True,True,False,False,False,False,False,False,False,
file_101,Data Scientist,SSE plc,,2 days ago,14 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_102,REPL Group - Data Scientist,Accenture,,2 days ago,144 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,True,
file_103,VP Data Scientist,Harnham,,1 month ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_104,Senior Data Scientist,Direct Line Group,,3 days ago,6 applicants,,False,False,False,False,False,False,False,True,False,False,False,False,False,
file_105,Data Scientist - Veygo,Admiral Group Plc,,1 week ago,28 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_106,"Data Scientist III, Product Analytics",Expedia Group,,2 days ago,22 applicants,,True,True,False,False,False,False,False,False,False,False,False,True,False,
file_107,Data Scientist,SSE plc,,2 days ago,2 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_108,Senior Data Scientist,Harnham,,1 month ago,,,True,True,True,False,False,False,False,False,False,False,False,False,False,50000,
file_109,Data Science Lead,Harnham,,3 weeks ago,5 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,65000,
file_11,Data Scientist,Hays,,1 month ago,13 applicants,"Benefits found in job post
Medical insurance",True,False,False,False,False,False,False,False,False,False,False,False,False,
file_110,Data Science Manager,Harnham,,3 weeks ago,,,True,True,False,False,True,True,False,False,False,True,False,False,False,75000,
file_111,Data Scientist,SSE plc,,2 days ago,5 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_112,Data Scientist,SSE plc,,2 days ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_113,Senior Data Scientist,Monzo Bank,,2 weeks ago,43 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_114,Data Scientist - London,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_115,Lead Data Scientist,Women in Data®,,2 days ago,13 applicants,,True,False,False,False,False,True,False,False,False,True,True,False,False,
file_116,Senior Data Scientist,Jet2.com and Jet2holidays,,3 weeks ago,33 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_117,Data Scientist - Digital Marketing,Deliveroo,,2 days ago,37 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_118,Junior Data Scientist - Customer Value Management,Lloyds Banking Group,,2 days ago,66 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,
file_119,Senior Data Scientist,Jagex,,3 weeks ago,1 applicant,,False,False,False,False,False,False,False,True,False,False,False,False,False,
file_12,Data Scientist,DWP Digital,,4 days ago,24 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_120,Data Scientist,DWP Digital,,4 days ago,91 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_121,"Data Science R&D Future Leaders Graduate Programme, UK, 2023",GSK,,1 day ago,32 applicants,,True,False,False,False,False,False,False,False,False,False,True,False,False,
file_122,Data Scientist,Mars,,3 days ago,21 applicants,,True,True,True,False,False,False,False,False,True,False,False,False,False,
file_123,Senior Data Scientist,Monzo Bank,,2 weeks ago,28 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_124,Data Scientist Manager,Hays,,3 weeks ago,3 applicants,,True,False,True,False,False,False,False,False,False,False,False,False,False,
file_125,Data Scientist,LexisNexis Risk Solutions Group,,1 week ago,100 applicants,,True,False,True,False,False,False,False,False,False,False,False,False,False,
file_126,Principal Data Scientist,Leonardo,,1 week ago,41 applicants,,True,True,False,False,False,False,False,True,True,True,False,False,False,
file_127,Data Scientist,SSE plc,,2 days ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_128,"Senior Data Scientist, Monzo Flex",Monzo Bank,,7 hours ago,24 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_129,Senior Data Scientist,Nokia,,1 month ago,7 applicants,,True,True,False,False,True,False,False,False,False,True,True,False,False,
file_13,Data Scientist / Data Analytics Statistician,The Lubrizol Corporation,,3 weeks ago,111 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_130,"Data Scientist (Graduate, Experienced and Senior Levels)",First Central,,1 week ago,91 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_131,Data Scientist,Booz Allen Hamilton,,3 days ago,21 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,True,
file_132,"Data Scientist, GD1",DRW,,1 week ago,69 applicants,,False,False,False,False,False,True,False,False,False,False,False,False,False,
file_133,Data Scientist - Compliance Data Strategy & Innovation,Barclays,,1 week ago,73 applicants,,True,False,True,False,False,False,False,False,False,False,False,False,False,
file_134,Performance Analysis and Insights Data Support Scientist (Consultant) October 2022-April 2023 FTC,England & Wales Cricket Board (ECB),,5 days ago,27 applicants,,True,True,False,False,True,True,False,False,False,False,False,False,False,
file_135,Senior Data Scientist (Computer Vision),Tesco,,2 weeks ago,99 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_136,Data Scientist - Defence,BAE Systems Digital Intelligence,,1 week ago,24 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,True,
file_137,Data Scientist 2,The Economist,,3 weeks ago,157 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_138,"Data Scientist - AI, Data & Analytics Center of Expertise",UBS,,4 weeks ago,7 applicants,,True,True,False,True,False,False,False,False,False,False,False,False,False,70000,
file_139,Senior Data Scientist,Monzo Bank,,2 weeks ago,41 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_14,Junior Data Scientist,Harnham,,3 weeks ago,,,False,True,False,False,False,False,False,False,False,False,False,False,False,30000,
file_140,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_141,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_142,Data Scientist,bct resourcing,,22 hours ago,9 applicants,,False,True,False,False,False,False,True,False,False,False,False,False,True,
file_143,Junior Data Scientist,Jobs via eFinancialCareers,,2 weeks ago,,,False,False,False,False,False,False,False,False,False,False,True,False,True,
file_144,Data Scientist,Nigel Frank International,,1 month ago,9 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_145,Client Analytics Data Scientist,NatWest Markets Plc,,3 days ago,33 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_146,Data Scientist,Priceline,,1 day ago,,,True,True,False,False,False,True,False,True,False,True,True,False,False,
file_147,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_148,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_149,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_15,Data Scientist,STFC,,2 days ago,24 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_150,Data Scientist - London,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_151,Data Scientist - Defence,BAE Systems Digital Intelligence,,1 week ago,22 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,True,
file_152,Senior Data Scientist,Boots UK,,1 week ago,67 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_153,Data Scientist,Pandora,,3 days ago,93 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,27000,
file_154,Statistical Data Scientist,Dstl,,2 weeks ago,36 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,True,
file_155,Data Scientist,SSE plc,,2 days ago,5 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_156,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_157,Data Scientist,SSE plc,,2 days ago,7 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_158,"Senior Data Scientist, Monzo Flex",Monzo Bank,,7 hours ago,24 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_159,Senior Data Scientist,Monzo Bank,,2 weeks ago,15 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_16,Data Scientist,DWP Digital,,4 days ago,47 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
